0	1			
12	1			
52	0			
60	0			
208	144			
209	12			
210	16			
211	4			
212	16			
213	9			
214	0			
216	210			
217	0			
220	0			
226	40			
227	28			
-1	-1			
0	0			
4	0			
5	0			
33	0			
34	0			
35	0			
36	0			
38	0			
39	0			
40	0			
41	0			
42	0			
43	0			
44	0			
45	0			
46	0			
47	0			
48	0			
49	0			
50	0			
51	0			
52	0			
53	0			
54	0			
55	0			
56	0			
57	0			
58	0			
59	0			
60	0			
61	0			
62	0			
63	0			
64	0			
65	0			
66	0			
67	0			
68	0			
69	0			
70	0			
71	0			
72	0			
73	0			
74	0			
75	0			
76	0			
77	0			
78	0			
79	0			
80	0			
81	0			
82	0			
83	0			
84	0			
85	0			
86	0			
87	0			
88	0			
89	0			
90	0			
91	0			
92	0			
93	0			
94	0			
95	0			
-1	-1			
0	4			
4	0			
32	82			
33	32			
36	82			
37	32			
38	131			
48	57			
49	0			
50	3			
64	44			
65	0			
66	0			
-1	-1			
0	0			
48	0			
53	0			
58	0			
60	192			
68	1			
69	1			
120	0			
121	0			
122	0			
123	0			
124	0			
125	0			
126	0			
128	0			
129	0			
130	0			
131	0			
132	0			
133	0			
134	0			
-1	-1			
2	0			
16	0			
20	0			
21	0			
192	60			
193	0			
204	19			
205	0			
206	29			
207	0			
-1	-1			
2	0			
3	0			
10	16			
11	0			
14	20			
15	0			
18	15			
19	0			
22	3			
23	0			
26	12			
27	0			
42	0			
43	0			
46	8			
47	0			
54	20			
55	0			
62	84			
63	0			
66	12			
67	0			
82	0			
83	0			
86	8			
87	0			
90	16			
91	0			
94	20			
95	0			
102	6			
103	0			
-1	-1			
4	0			
32	0			
33	2			
34	10			
36	255			
37	127			
38	0			
40	16			
42	16			
44	16			
48	170			
49	0			
50	96			
51	0			
52	0			
53	0			
54	0			
55	0			
56	0			
57	0			
58	0			
59	0			
64	3			
65	0			
-1	-1			
168	2			
169	0			
-1	-1
